url,title,pubDate,articleID,section,commentCount,views,articleAge,shares,alive
http://www.nytimes.com/2013/04/27/world/europe/eu-is-pressed-to-reconsider-cuts-as-economic-cure.html,Europe Facing More Pressure to Reconsider Cuts as a Cure,2013-04-27,100000002193912,World,15,46574,0,618,0
http://www.nytimes.com/2013/04/29/business/venture-capitalists-are-making-bigger-bets-on-food-start-ups.html,Venture Capitalists Are Making Bigger Bets on Food Start-Ups,2013-04-29,100000002196650,Business Day,0,72916,0,1867,1
http://opinionator.blogs.nytimes.com/2013/04/27/no-rich-child-left-behind/,No Rich Child Left Behind,2013-04-27,289,Opinion,18,161369,2,4057,1
http://www.nytimes.com/2013/04/27/arts/design/rosenberg-familys-quest-to-regain-art-stolen-by-nazis.html,"Family, ‘Not Willing to Forget,’ Pursues Art It Lost to Nazis",2013-04-27,100000002194477,Arts,117,72084,0,1453,0
http://www.nytimes.com/2013/04/26/health/for-boston-bombing-victims-a-long-painful-road-to-recovery.html,Victims in Boston Face a Difficult Path to Recovery,2013-04-26,100000002193083,Health,0,159096,0,567,0
http://www.nytimes.com/2013/04/26/opinion/krugman-the-one-percents-solution.html,The 1 Percent’s Solution,2013-04-26,100000002192793,Opinion,24,80883,0,1451,0
http://www.nytimes.com/2013/04/26/us/farm-loan-bias-claims-often-unsupported-cost-us-millions.html,U.S. Opens Spigot After Farmers Claim Discrimination,2013-04-26,100000002193085,U.S.,10,84841,0,1347,0
http://www.nytimes.com/2013/04/28/opinion/sunday/my-son-the-terrorist.html,"My Son, the Terrorist",2013-04-28,100000002194928,Opinion,0,95112,0,944,0
http://www.nytimes.com/2013/04/28/opinion/sunday/i-killed-my-friend.html,Sleeping With Guns,2013-04-28,100000002195049,Opinion,0,71324,0,890,0
http://www.nytimes.com/2013/04/27/arts/music/george-jones-country-singer-dies-at-81.html,His Life Was a Country Song,2013-04-27,100000002193840,Arts,12,48755,0,1885,0
http://www.nytimes.com/2013/04/27/business/netflix-looks-back-on-its-near-death-spiral.html,Netflix Looks Back on Its Near-Death Spiral,2013-04-27,100000002193842,Business Day,0,61179,0,429,0
http://www.nytimes.com/2013/04/27/opinion/blow-the-morose-middle-class.html,The Morose Middle Class,2013-04-27,100000002195270,Opinion,26,55191,0,541,0
http://www.nytimes.com/2013/04/29/business/racial-wealth-gap-widened-during-recession.html,"Wealth Gap 
    Among Races
    Widened Since
    Recession",2013-04-29,100000002196594,Business Day,12,61062,0,1219,1
http://www.nytimes.com/2013/04/28/opinion/sunday/dowd-the-silver-foxs-pink-slip.html,Silver Fox’s Pink Slip,2013-04-28,100000002195531,Opinion,11,72363,1,675,1
http://www.nytimes.com/2013/04/28/technology/how-big-data-is-playing-recruiter-for-specialized-workers.html,How Big Data Is Playing Recruiter for Specialized Workers,2013-04-28,100000002193942,Technology,0,59514,1,1046,1
http://www.nytimes.com/2013/04/28/magazine/diederik-stapels-audacious-academic-fraud.html,The Mind of a Con Man,2013-04-28,100000002188041,Magazine,13,81468,1,1003,1
http://www.nytimes.com/2013/04/29/opinion/krugman-the-story-of-our-time.html,The Story of Our Time,2013-04-29,100000002197004,Opinion,16,185689,0,3108,1
http://www.nytimes.com/2013/04/29/world/asia/cia-delivers-cash-to-afghan-leaders-office.html,"With Bags of Cash, C.I.A. Seeks Influence in Afghanistan",2013-04-29,100000002196804,World,24,211360,0,2914,1
